company_id,company_id,company_name,broad_sector,cluster_id,cluster_name,distance_from_centroid
NHPC,NHPC,NHPC Ltd,Energy,4,Moderate Growth Compounders,1.499
NTPC,NTPC,NTPC Ltd,Energy,4,Moderate Growth Compounders,0.766
ONGC,ONGC,Oil & Natural Gas Corpn Ltd,Energy,4,Moderate Growth Compounders,1.437
PFC,PFC,Power Finance Corporation Ltd,Financials,2,Value Cyclicals,2.986
PIDILITIND,PIDILITIND,Pidilite Industries Ltd,Materials,4,Moderate Growth Compounders,0.642
PNB,PNB,Punjab National Bank,Financials,2,Value Cyclicals,1.518
POWERGRID,POWERGRID,Power Grid Corporation of India Ltd,Energy,0,High-Quality Growth,1.435
RECLTD,RECLTD,REC Ltd,Financials,2,Value Cyclicals,2.449
RELIANCE,RELIANCE,Reliance Industries Ltd,Energy,4,Moderate Growth Compounders,1.579
SBILIFE,SBILIFE,SBI Life Insurance Company Ltd,Financials,1,Defensive Cash Generator,1.049
SBIN,SBIN,State Bank of India,Financials,4,Moderate Growth Compounders,1.373
SHREECEM,SHREECEM,Shree Cement Ltd,Materials,4,Moderate Growth Compounders,0.461
SHRIRAMFIN,SHRIRAMFIN,Shriram Finance Ltd,Financials,2,Value Cyclicals,1.296
SIEMENS,SIEMENS,Siemens Ltd,Industrials,4,Moderate Growth Compounders,0.601
SUNPHARMA,SUNPHARMA,Sun Pharmaceuticals Industries Ltd,Healthcare,4,Moderate Growth Compounders,0.475
TATACONSUM,TATACONSUM,Tata Consumer Products Ltd,Consumer Staples,1,Defensive Cash Generator,0.523
TATAMOTORS,TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,4,Moderate Growth Compounders,1.608
TATAPOWER,TATAPOWER,Tata Power Company Ltd,Energy,1,Defensive Cash Generator,0.584
TATASTEEL,TATASTEEL,Tata Steel Ltd,Materials,4,Moderate Growth Compounders,0.446
TCS,TCS,Tata Consultancy Services Ltd,Information Technology,4,Moderate Growth Compounders,1.84
TECHM,TECHM,Tech Mahindra Ltd,Information Technology,4,Moderate Growth Compounders,0.454
TITAN,TITAN,Titan Company Ltd,Consumer Discretionary,1,Defensive Cash Generator,0.485
TORNTPHARM,TORNTPHARM,Torrent Pharmaceuticals Ltd,Healthcare,4,Moderate Growth Compounders,0.539
TRENT,TRENT,Trent Ltd,Consumer Discretionary,1,Defensive Cash Generator,2.384
TVSMOTOR,TVSMOTOR,TVS Motor Company Ltd,Consumer Discretionary,1,Defensive Cash Generator,1.228
