company_id,year,cfo,cff,net_profit,reason
BHEL,2023-03,-741.0,89.0,654.0,Negative CFO funded by positive financing cash flow (Distress Signal)
BHEL,2024-03,-3713.0,2656.0,282.0,Negative CFO funded by positive financing cash flow (Distress Signal)
CANBK,2018-03,-11120.0,2865.0,-3873.0,Negative CFO funded by positive financing cash flow (Distress Signal)
CANBK,2020-03,-5289.0,7792.0,-1921.0,Negative CFO funded by positive financing cash flow (Distress Signal)
CANBK,2023-03,-39978.0,445.0,11345.0,Negative CFO funded by positive financing cash flow (Distress Signal)
CHOLAFIN,2013-03,-3754.0,4067.0,308.0,Negative CFO funded by positive financing cash flow (Distress Signal)
CHOLAFIN,2014-03,-2447.0,2749.0,368.0,Negative CFO funded by positive financing cash flow (Distress Signal)
CHOLAFIN,2015-03,-2264.0,1819.0,444.0,Negative CFO funded by positive financing cash flow (Distress Signal)
CHOLAFIN,2016-03,-2809.0,3031.0,575.0,Negative CFO funded by positive financing cash flow (Distress Signal)
CHOLAFIN,2017-03,-1468.0,1692.0,718.0,Negative CFO funded by positive financing cash flow (Distress Signal)
CHOLAFIN,2018-03,-7926.0,8009.0,918.0,Negative CFO funded by positive financing cash flow (Distress Signal)
CHOLAFIN,2019-03,-9317.0,12191.0,1197.0,Negative CFO funded by positive financing cash flow (Distress Signal)
CHOLAFIN,2020-03,-2075.0,2452.0,1054.0,Negative CFO funded by positive financing cash flow (Distress Signal)
CHOLAFIN,2021-03,-8848.0,8707.0,1521.0,Negative CFO funded by positive financing cash flow (Distress Signal)
CHOLAFIN,2022-03,-5571.0,5150.0,2154.0,Negative CFO funded by positive financing cash flow (Distress Signal)
CHOLAFIN,2023-03,-27105.0,27466.0,2665.0,Negative CFO funded by positive financing cash flow (Distress Signal)
CHOLAFIN,2024-03,-35683.0,38471.0,3420.0,Negative CFO funded by positive financing cash flow (Distress Signal)
DLF,2017-03,-898.0,787.0,708.0,Negative CFO funded by positive financing cash flow (Distress Signal)
GRASIM,2018-03,-4140.0,3449.0,3688.0,Negative CFO funded by positive financing cash flow (Distress Signal)
GRASIM,2019-03,-1659.0,4158.0,2745.0,Negative CFO funded by positive financing cash flow (Distress Signal)
GRASIM,2023-03,-12685.0,26469.0,11078.0,Negative CFO funded by positive financing cash flow (Distress Signal)
GRASIM,2024-03,-10719.0,33908.0,9926.0,Negative CFO funded by positive financing cash flow (Distress Signal)
HAL,2019-03,-7694.0,2321.0,2346.0,Negative CFO funded by positive financing cash flow (Distress Signal)
HDFCBANK,2013-03,-5847.0,13105.0,6903.0,Negative CFO funded by positive financing cash flow (Distress Signal)
HDFCBANK,2015-03,-21281.0,18694.0,10703.0,Negative CFO funded by positive financing cash flow (Distress Signal)
HDFCBANK,2016-03,-34435.0,37815.0,12821.0,Negative CFO funded by positive financing cash flow (Distress Signal)
HDFCBANK,2019-03,-62872.0,23131.0,22446.0,Negative CFO funded by positive financing cash flow (Distress Signal)
HDFCBANK,2020-03,-16869.0,24394.0,27296.0,Negative CFO funded by positive financing cash flow (Distress Signal)
HDFCBANK,2022-03,-11960.0,48124.0,38151.0,Negative CFO funded by positive financing cash flow (Distress Signal)
ICICIBANK,2015-03,-12273.0,24827.0,12942.0,Negative CFO funded by positive financing cash flow (Distress Signal)
ICICIBANK,2023-03,-3771.0,24791.0,35461.0,Negative CFO funded by positive financing cash flow (Distress Signal)
INDUSINDBK,2013-03,-486.0,1969.0,1061.0,Negative CFO funded by positive financing cash flow (Distress Signal)
INDUSINDBK,2014-03,-4106.0,4200.0,1408.0,Negative CFO funded by positive financing cash flow (Distress Signal)
INDUSINDBK,2015-03,-1421.0,5707.0,1794.0,Negative CFO funded by positive financing cash flow (Distress Signal)
INDUSINDBK,2016-03,-2927.0,2517.0,2286.0,Negative CFO funded by positive financing cash flow (Distress Signal)
INDUSINDBK,2018-03,-20700.0,15505.0,3606.0,Negative CFO funded by positive financing cash flow (Distress Signal)
INDUSINDBK,2019-03,-6389.0,8590.0,3301.0,Negative CFO funded by positive financing cash flow (Distress Signal)
INDUSINDBK,2020-03,-12039.0,12733.0,4418.0,Negative CFO funded by positive financing cash flow (Distress Signal)
INDUSINDBK,2023-03,-12438.0,1115.0,7390.0,Negative CFO funded by positive financing cash flow (Distress Signal)
IRFC,2016-03,-16378.0,17582.0,849.0,Negative CFO funded by positive financing cash flow (Distress Signal)
IRFC,2017-03,-19455.0,18250.0,934.0,Negative CFO funded by positive financing cash flow (Distress Signal)
IRFC,2018-03,-28076.0,28075.0,2055.0,Negative CFO funded by positive financing cash flow (Distress Signal)
IRFC,2019-03,-41748.0,41749.0,2255.0,Negative CFO funded by positive financing cash flow (Distress Signal)
IRFC,2020-03,-62701.0,62697.0,3192.0,Negative CFO funded by positive financing cash flow (Distress Signal)
IRFC,2021-03,-89907.0,90202.0,4416.0,Negative CFO funded by positive financing cash flow (Distress Signal)
IRFC,2022-03,-64412.0,64266.0,6090.0,Negative CFO funded by positive financing cash flow (Distress Signal)
IRFC,2023-03,-28588.0,28644.0,6167.0,Negative CFO funded by positive financing cash flow (Distress Signal)
KOTAKBANK,2018-03,-10392.0,14679.0,6258.0,Negative CFO funded by positive financing cash flow (Distress Signal)
KOTAKBANK,2023-03,-1242.0,1883.0,14925.0,Negative CFO funded by positive financing cash flow (Distress Signal)
LODHA,2019-03,-463.0,736.0,1644.0,Negative CFO funded by positive financing cash flow (Distress Signal)
LT,2013-03,-4355.0,11429.0,5291.0,Negative CFO funded by positive financing cash flow (Distress Signal)
LT,2014-03,-7143.0,13136.0,4885.0,Negative CFO funded by positive financing cash flow (Distress Signal)
LT,2015-03,-1365.0,7903.0,4966.0,Negative CFO funded by positive financing cash flow (Distress Signal)
LT,2016-03,-3240.0,7253.0,4592.0,Negative CFO funded by positive financing cash flow (Distress Signal)
LT,2018-03,-10031.0,9370.0,8004.0,Negative CFO funded by positive financing cash flow (Distress Signal)
LT,2019-03,-4756.0,15440.0,10217.0,Negative CFO funded by positive financing cash flow (Distress Signal)
M&M,2013-03,-922.0,4508.0,4129.0,Negative CFO funded by positive financing cash flow (Distress Signal)
M&M,2014-03,-244.0,5577.0,5154.0,Negative CFO funded by positive financing cash flow (Distress Signal)
M&M,2019-03,-4347.0,13194.0,6017.0,Negative CFO funded by positive financing cash flow (Distress Signal)
M&M,2020-03,-1457.0,6933.0,-321.0,Negative CFO funded by positive financing cash flow (Distress Signal)
M&M,2023-03,-7074.0,15946.0,11374.0,Negative CFO funded by positive financing cash flow (Distress Signal)
M&M,2024-03,-5630.0,12281.0,12270.0,Negative CFO funded by positive financing cash flow (Distress Signal)
PFC,2013-03,-25102.0,27947.0,4438.0,Negative CFO funded by positive financing cash flow (Distress Signal)
PFC,2014-03,-22473.0,17671.0,5462.0,Negative CFO funded by positive financing cash flow (Distress Signal)
PFC,2015-03,-21455.0,26916.0,6004.0,Negative CFO funded by positive financing cash flow (Distress Signal)
PFC,2016-03,-13298.0,10383.0,6184.0,Negative CFO funded by positive financing cash flow (Distress Signal)
PFC,2018-03,-57148.0,52018.0,8797.0,Negative CFO funded by positive financing cash flow (Distress Signal)
PFC,2019-03,-80252.0,93616.0,12640.0,Negative CFO funded by positive financing cash flow (Distress Signal)
PFC,2020-03,-42148.0,43399.0,9477.0,Negative CFO funded by positive financing cash flow (Distress Signal)
PFC,2021-03,-59143.0,60424.0,15716.0,Negative CFO funded by positive financing cash flow (Distress Signal)
PFC,2023-03,-74717.0,75537.0,21179.0,Negative CFO funded by positive financing cash flow (Distress Signal)
PFC,2024-03,-97820.0,101261.0,26461.0,Negative CFO funded by positive financing cash flow (Distress Signal)
PNB,2018-03,-1742.0,7460.0,-12111.0,Negative CFO funded by positive financing cash flow (Distress Signal)
PNB,2019-03,-33532.0,13969.0,-9550.0,Negative CFO funded by positive financing cash flow (Distress Signal)
PNB,2020-03,-12793.0,13591.0,485.0,Negative CFO funded by positive financing cash flow (Distress Signal)
PNB,2024-03,-27939.0,3518.0,9157.0,Negative CFO funded by positive financing cash flow (Distress Signal)
RECLTD,2013-03,-20059.0,16059.0,3833.0,Negative CFO funded by positive financing cash flow (Distress Signal)
RECLTD,2014-03,-17244.0,16815.0,4741.0,Negative CFO funded by positive financing cash flow (Distress Signal)
RECLTD,2015-03,-23898.0,23098.0,5344.0,Negative CFO funded by positive financing cash flow (Distress Signal)
RECLTD,2016-03,-13278.0,15291.0,5691.0,Negative CFO funded by positive financing cash flow (Distress Signal)
RECLTD,2018-03,-32510.0,28244.0,4451.0,Negative CFO funded by positive financing cash flow (Distress Signal)
RECLTD,2019-03,-35866.0,35543.0,5741.0,Negative CFO funded by positive financing cash flow (Distress Signal)
RECLTD,2020-03,-32712.0,33926.0,4972.0,Negative CFO funded by positive financing cash flow (Distress Signal)
RECLTD,2021-03,-43512.0,42113.0,8378.0,Negative CFO funded by positive financing cash flow (Distress Signal)
RECLTD,2022-03,-819.0,68.0,10036.0,Negative CFO funded by positive financing cash flow (Distress Signal)
RECLTD,2023-03,-37360.0,38123.0,11167.0,Negative CFO funded by positive financing cash flow (Distress Signal)
RECLTD,2024-03,-57723.0,59588.0,14145.0,Negative CFO funded by positive financing cash flow (Distress Signal)
SBIN,2018-03,-96508.0,5547.0,-3749.0,Negative CFO funded by positive financing cash flow (Distress Signal)
SBIN,2023-03,-86014.0,6386.0,57750.0,Negative CFO funded by positive financing cash flow (Distress Signal)
SHRIRAMFIN,2013-03,-8359.0,9060.0,1463.0,Negative CFO funded by positive financing cash flow (Distress Signal)
SHRIRAMFIN,2014-03,-4055.0,5010.0,1358.0,Negative CFO funded by positive financing cash flow (Distress Signal)
SHRIRAMFIN,2015-03,-9611.0,7836.0,1028.0,Negative CFO funded by positive financing cash flow (Distress Signal)
SHRIRAMFIN,2016-03,-5507.0,2822.0,1184.0,Negative CFO funded by positive financing cash flow (Distress Signal)
SHRIRAMFIN,2017-03,-2677.0,3017.0,1266.0,Negative CFO funded by positive financing cash flow (Distress Signal)
SHRIRAMFIN,2018-03,-13142.0,13014.0,2549.0,Negative CFO funded by positive financing cash flow (Distress Signal)
SHRIRAMFIN,2019-03,-5535.0,5550.0,2576.0,Negative CFO funded by positive financing cash flow (Distress Signal)
SHRIRAMFIN,2020-03,-2464.0,4579.0,2512.0,Negative CFO funded by positive financing cash flow (Distress Signal)
SHRIRAMFIN,2021-03,-4239.0,12226.0,2499.0,Negative CFO funded by positive financing cash flow (Distress Signal)
SHRIRAMFIN,2022-03,-8859.0,8505.0,2721.0,Negative CFO funded by positive financing cash flow (Distress Signal)
SHRIRAMFIN,2023-03,-17625.0,11820.0,6020.0,Negative CFO funded by positive financing cash flow (Distress Signal)
SHRIRAMFIN,2024-03,-31101.0,27609.0,7399.0,Negative CFO funded by positive financing cash flow (Distress Signal)
TITAN,2014-03,-555.0,497.0,735.0,Negative CFO funded by positive financing cash flow (Distress Signal)
TRENT,2015-03,-10.0,310.0,129.0,Negative CFO funded by positive financing cash flow (Distress Signal)
TVSMOTOR,2019-03,-918.0,2210.0,725.0,Negative CFO funded by positive financing cash flow (Distress Signal)
TVSMOTOR,2022-03,-1575.0,2918.0,731.0,Negative CFO funded by positive financing cash flow (Distress Signal)
TVSMOTOR,2023-03,-4405.0,6118.0,1309.0,Negative CFO funded by positive financing cash flow (Distress Signal)
TVSMOTOR,2024-03,-1253.0,2759.0,1779.0,Negative CFO funded by positive financing cash flow (Distress Signal)
