company_id,company_name,sector,metric,value,sector_median,flag,rationale
HAL,Hindustan Aeronautics Ltd,Industrials,P/E Ratio,71.89,47.155,Caution,"Trading at 71.9x P/E, >1.5x sector median of 47.2x (SIMULATED)"
HINDUNILVR,Hindustan Unilever Ltd,Consumer Staples,P/E Ratio,34.51,50.95,Discount,"Trading at 34.5x P/E, <0.7x sector median of 51.0x (SIMULATED)"
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,P/E Ratio,20.83,34.24,Discount,"Trading at 20.8x P/E, <0.7x sector median of 34.2x (SIMULATED)"
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,P/E Ratio,76.23,38.005,Caution,"Trading at 76.2x P/E, >1.5x sector median of 38.0x (SIMULATED)"
INDUSINDBK,IndusInd Bank Ltd,Financials,P/E Ratio,8.99,34.24,Discount,"Trading at 9.0x P/E, <0.7x sector median of 34.2x (SIMULATED)"
INFY,Infosys Ltd,Information Technology,P/E Ratio,35.99,63.63,Discount,"Trading at 36.0x P/E, <0.7x sector median of 63.6x (SIMULATED)"
IOC,Indian Oil Corporation,Energy,P/E Ratio,28.61,44.915,Discount,"Trading at 28.6x P/E, <0.7x sector median of 44.9x (SIMULATED)"
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,P/E Ratio,60.44,38.005,Caution,"Trading at 60.4x P/E, >1.5x sector median of 38.0x (SIMULATED)"
IRFC,Indian Railway Finance Corporation Ltd,Financials,P/E Ratio,9.81,34.24,Discount,"Trading at 9.8x P/E, <0.7x sector median of 34.2x (SIMULATED)"
JSWENERGY,JSW Energy Ltd,Energy,P/E Ratio,24.79,44.915,Discount,"Trading at 24.8x P/E, <0.7x sector median of 44.9x (SIMULATED)"
LT,Larsen & Toubro Ltd,Industrials,P/E Ratio,30.8,47.155,Discount,"Trading at 30.8x P/E, <0.7x sector median of 47.2x (SIMULATED)"
M&M,Mahindra & Mahindra Ltd,Consumer Discretionary,P/E Ratio,14.22,38.005,Discount,"Trading at 14.2x P/E, <0.7x sector median of 38.0x (SIMULATED)"
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,P/E Ratio,20.78,38.005,Discount,"Trading at 20.8x P/E, <0.7x sector median of 38.0x (SIMULATED)"
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,P/E Ratio,9.54,38.005,Discount,"Trading at 9.5x P/E, <0.7x sector median of 38.0x (SIMULATED)"
NAUKRI,Info Edge (India) Ltd,Communication Services,P/E Ratio,32.88,48.33,Discount,"Trading at 32.9x P/E, <0.7x sector median of 48.3x (SIMULATED)"
NHPC,NHPC Ltd,Energy,P/E Ratio,71.17,44.915,Caution,"Trading at 71.2x P/E, >1.5x sector median of 44.9x (SIMULATED)"
NTPC,NTPC Ltd,Energy,P/E Ratio,30.8,44.915,Discount,"Trading at 30.8x P/E, <0.7x sector median of 44.9x (SIMULATED)"
ONGC,Oil & Natural Gas Corpn Ltd,Energy,P/E Ratio,18.15,44.915,Discount,"Trading at 18.1x P/E, <0.7x sector median of 44.9x (SIMULATED)"
PIDILITIND,Pidilite Industries Ltd,Materials,P/E Ratio,36.12,55.62,Discount,"Trading at 36.1x P/E, <0.7x sector median of 55.6x (SIMULATED)"
PNB,Punjab National Bank,Financials,P/E Ratio,19.29,34.24,Discount,"Trading at 19.3x P/E, <0.7x sector median of 34.2x (SIMULATED)"
SBILIFE,SBI Life Insurance Company Ltd,Financials,P/E Ratio,69.98,34.24,Caution,"Trading at 70.0x P/E, >1.5x sector median of 34.2x (SIMULATED)"
SBIN,State Bank of India,Financials,P/E Ratio,54.93,34.24,Caution,"Trading at 54.9x P/E, >1.5x sector median of 34.2x (SIMULATED)"
SHREECEM,Shree Cement Ltd,Materials,P/E Ratio,25.87,55.62,Discount,"Trading at 25.9x P/E, <0.7x sector median of 55.6x (SIMULATED)"
SHRIRAMFIN,Shriram Finance Ltd,Financials,P/E Ratio,68.53,34.24,Caution,"Trading at 68.5x P/E, >1.5x sector median of 34.2x (SIMULATED)"
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,P/E Ratio,67.07,38.005,Caution,"Trading at 67.1x P/E, >1.5x sector median of 38.0x (SIMULATED)"
TATAPOWER,Tata Power Company Ltd,Energy,P/E Ratio,14.5,44.915,Discount,"Trading at 14.5x P/E, <0.7x sector median of 44.9x (SIMULATED)"
TITAN,Titan Company Ltd,Consumer Discretionary,P/E Ratio,10.13,38.005,Discount,"Trading at 10.1x P/E, <0.7x sector median of 38.0x (SIMULATED)"
TRENT,Trent Ltd,Consumer Discretionary,P/E Ratio,8.65,38.005,Discount,"Trading at 8.7x P/E, <0.7x sector median of 38.0x (SIMULATED)"
